Ax,Ay,Az,Gx,Gy,Gz,mov
11.841,1.8633,4.1601,0.42,4.27,-2.24,rising
10.1285,1.746,3.5446,-3.71,6.93,-3.64,rising
9.6831,1.528,3.6021,-1.47,7.7,0.56,rising
9.3166,1.4729,3.5207,0.0,-3.78,3.29,rising
9.8819,1.4993,3.6668,1.82,-6.65,3.01,rising
8.967,1.437,3.2285,1.96,-7.14,3.78,rising
8.7873,1.1951,2.9243,5.53,-6.51,3.15,rising
8.5694,1.1736,2.5842,6.02,-5.18,3.85,rising
5.5948,0.6059,2.0094,5.46,-6.93,1.82,rising
8.6748,1.049,2.6776,4.9,14.49,6.65,rising
9.9585,1.5999,3.6117,0.42,0.14,-1.75,rising
9.1777,1.0778,3.2357,-1.54,5.18,-2.73,rising
9.7381,1.3364,3.2117,0.56,-8.33,3.85,rising
9.6591,1.3484,3.25,0.7,1.96,-2.1,rising
9.5849,1.2933,3.195,-0.21,0.91,0.28,rising
9.5849,1.3149,3.1063,0.0,1.61,-0.14,rising
9.4747,1.3077,3.1758,0.0,-1.61,2.03,falling
9.149,1.1496,3.1614,-1.47,-0.35,4.2,falling
8.5311,1.061,2.6273,-0.98,0.42,3.85,falling
7.3264,1.0323,2.3998,-5.6,2.17,-10.36,falling
7.7191,0.9915,2.6848,-2.66,5.74,-3.22,falling
9.2615,1.3891,3.1686,-4.06,0.21,0.56,falling
9.9465,1.346,3.353,-1.12,1.33,2.17,falling
10.0279,1.3891,3.6428,-1.89,3.01,-3.57,falling
9.8172,1.4083,3.3698,-1.89,-0.56,-4.2,falling
10.0136,1.4418,3.6835,-4.06,-7.84,-3.57,falling
10.0735,1.528,3.5997,-1.47,2.1,-3.15,falling
10.0375,1.267,3.6261,-1.54,2.31,0.63,falling
9.8172,1.4155,3.3794,2.24,-2.73,3.08,falling
10.8279,1.7579,3.6093,0.49,-5.04,0.42,falling
12.114,1.6741,3.8608,-1.89,-8.96,0.84,falling
10.3465,1.516,3.6907,-2.66,3.57,-1.05,falling
8.7251,1.0778,2.9746,-2.03,4.27,-2.59,falling
9.1801,1.2694,3.1734,-2.73,5.6,-0.77,falling
9.022,1.3292,2.9986,0.21,7.98,0.14,falling
10.8494,1.4394,4.0596,-4.34,-2.17,-2.73,falling
12.7152,1.9639,4.4068,0.42,8.33,3.57,falling
12.0014,1.8801,4.7421,-0.35,-4.34,-0.77,falling
10.3848,1.5711,3.5782,0.56,10.43,-4.69,falling
9.1274,1.3819,3.5686,-0.84,6.72,-4.27,falling
9.3238,1.4753,3.6835,-2.59,1.26,-1.61,falling
9.5537,1.5113,3.6644,3.71,-3.15,1.61,falling
9.4531,1.4035,3.571,1.47,-11.97,5.6,falling
8.7945,1.2095,3.3554,3.22,-5.6,0.7,falling
8.3778,1.176,3.0369,9.17,-5.6,5.11,falling
6.1097,0.7951,2.1004,9.94,-2.94,-0.84,falling
8.3993,1.0346,3.0513,3.71,9.66,5.04,falling
9.501,1.4681,3.5758,1.82,-4.13,-1.47,falling
9.4196,1.3292,3.3171,1.54,9.24,0.0,falling
9.5226,1.461,3.5949,-0.91,-9.45,2.03,falling
9.501,1.4921,3.4416,0.28,-1.26,-0.7,rising
9.422,1.3149,3.3387,-0.14,-0.14,1.26,rising
9.046,1.3532,3.2884,-2.17,2.1,3.85,rising
8.6412,1.3939,2.8692,-7.07,2.94,-1.4,rising
7.4988,1.2071,2.6776,-6.72,-8.12,-7.28,rising
6.9527,1.0131,2.395,-3.01,13.65,-1.89,rising
9.3094,1.3795,3.4369,-5.39,3.43,-0.35,rising
9.9417,1.4131,3.9398,-3.5,5.67,-4.69,rising
10.3034,1.6837,3.9566,0.7,1.05,-0.63,rising
9.7884,1.4849,3.8344,-1.19,-5.88,-2.31,rising
9.7142,1.5448,3.7171,-0.84,-5.04,0.35,rising
9.9944,1.5807,3.844,-0.14,0.63,-1.68,rising
10.3656,1.643,3.8919,1.05,-0.49,1.61,rising
11.0339,1.7915,4.1027,0.42,-4.9,1.68,rising
10.2195,1.5639,3.844,0.7,-0.35,-0.49,rising
9.9848,1.5807,3.7314,-1.05,-4.34,1.26,rising
9.7166,1.5544,3.5087,0.14,0.7,-0.42,rising
9.41,1.4586,3.5422,0.07,1.12,-0.28,rising
8.9358,1.3963,3.2596,-0.28,4.62,0.0,rising
8.8975,1.5065,3.2165,-3.64,-0.56,0.84,rising
10.7273,1.6693,4.0955,-1.12,-2.17,-0.35,rising
12.1164,2.0022,4.2128,0.77,-0.07,4.2,rising
11.7452,1.7963,4.8739,-0.63,-1.54,-1.89,rising
10.2219,1.5903,4.0572,-1.82,3.64,-0.49,rising
9.3334,1.425,3.3147,-0.56,4.13,-0.14,rising
9.1418,1.243,3.741,2.1,4.55,-2.8,rising
9.1609,1.4155,3.3578,7.98,0.63,0.07,rising
9.2065,1.5663,3.7578,7.07,-8.4,2.59,rising
8.9622,1.4202,3.092,5.67,-8.61,2.1,rising
8.6987,1.1664,3.0489,2.73,-5.74,3.71,rising
6.7923,0.982,2.3304,1.68,-7.28,2.17,rising
7.4677,0.8454,2.4765,3.01,0.77,5.18,rising
9.7693,1.5089,3.3698,1.47,-6.51,2.03,rising
9.6064,1.2502,3.1087,-0.56,9.66,-1.47,rising
9.513,1.2909,3.1854,-0.49,-8.4,1.61,rising
9.5968,1.4993,3.1902,1.61,0.21,0.7,rising
9.6112,1.2933,3.1758,0.14,-0.56,0.56,falling
9.501,1.2454,3.0896,-1.26,-1.33,1.96,falling
8.9071,1.231,2.9483,-2.38,2.45,1.47,falling
8.1,1.1257,2.2346,0.28,-1.4,-2.38,falling
7.0318,0.7951,2.3854,-7.07,-6.37,-10.36,falling
7.9467,0.9412,2.704,-6.23,14.42,0.42,falling
9.786,1.4753,3.4369,-6.23,6.72,-3.57,falling
10.1285,1.3029,3.7674,-3.36,0.77,-4.06,falling
10.0327,1.4394,3.5925,-0.14,-1.82,-0.56,falling
10.0256,1.54,3.8368,-0.35,-0.21,-0.7,falling
10.2387,1.6023,3.9566,-1.12,3.78,-3.43,falling
10.1118,1.4179,3.9638,-0.56,-1.12,0.35,falling
10.0758,1.6885,3.8895,1.19,-0.28,-0.07,falling
10.2914,1.8178,3.5159,0.21,1.61,2.24,falling
10.174,1.6789,3.638,0.49,-5.11,2.59,falling
9.9777,1.54,3.923,0.07,-3.5,1.19,falling
9.3885,1.3915,3.4321,0.0,2.38,-2.31,falling
9.6687,1.619,3.535,-3.08,-0.21,-2.87,falling
9.1562,1.4705,3.4919,-0.28,6.79,-0.98,falling
9.6112,1.4586,3.8201,-1.12,2.66,-1.26,falling
9.8819,1.6933,3.8225,-0.14,1.68,-0.28,falling
9.695,1.4873,3.6907,-1.33,-3.85,3.43,falling
