Time;Ax;Ay;Az;Gx;Gy;Gz;BAR;P;R;Mag;UP;DOWN
168;3.03928;-1.44659;1.76992;-724.70972;-194.03992;-82.73997;994.5437;0;0;0;0;0
169;1.47294;-18.97334;8.18378;561.81976;71.46997;-21.55999;994.54565;0;0;0;0;0
170;-0.75922;11.28054;2.41178;414.95984;82.10997;-38.70998;994.56787;0;0;0;0;0
171;1.99266;5.70015;8.43526;96.52996;-55.99998;44.09998;994.5603;0;0;0;0;0
172;3.67636;2.22018;7.94668;20.85999;-77.97997;49.69998;994.57397;0;0;0;0;0
173;5.09181;2.27048;7.44372;35.41999;-41.92999;0.63;994.53369;0;0;0;0;0
174;5.69296;3.88233;7.13237;49.13998;-34.57999;-11.41;994.5415;0;0;0;0;0
175;6.52164;3.93023;5.9636;12.95;-48.01998;3.64;994.54199;0;0;0;0;0
176;7.98739;4.46432;5.54208;23.86999;-35.97998;-14.41999;994.52881;0;0;0;0;0
177;6.29172;4.59604;6.40668;19.80999;-28.69999;4.34;994.50415;0;0;0;0;0
178;6.69887;4.8068;4.88345;26.87999;-31.00999;2.03;994.50317;0;0;0;0;0
179;6.6845;5.37442;4.60083;22.39999;-30.09999;-2.73;994.50366;0;0;0;0;0
180;6.84497;7.21619;2.75188;19.17999;-27.71999;16.16999;994.4978;0;0;0;0;0
181;7.38145;5.27383;3.69552;26.10999;-23.79999;23.02999;994.48633;0;0;0;0;0
182;7.74549;5.20917;2.60578;26.66999;-25.68999;26.80999;994.48584;0;0;0;0;0
183;8.69871;4.86907;2.09804;18.61999;-19.24999;20.57999;994.48535;0;0;0;0;0
184;9.39327;4.22242;1.06339;9.66;-7.77;10.08;994.46655;0;0;0;0;0
185;8.86397;4.74693;1.46575;19.59999;15.32999;0.63;994.44604;0;0;0;0;0
186;7.92752;5.01038;2.33754;13.92999;8.26;17.56999;994.45703;0;0;0;0;0
187;8.11193;3.32908;1.92799;-2.45;-11.48;33.17999;994.47754;0;0;0;0;0
188;10.0016;3.82485;1.26697;-31.91999;-26.03999;-4.27;994.47974;0;0;0;0;0
189;10.09022;4.56491;1.21428;1.89;-6.3;3.64;994.49634;0;0;0;0;0
190;9.77408;3.54223;1.75555;23.02999;1.05;35.97998;994.53394;0;0;0;0;0
191;8.59094;3.49194;0.86221;-7.91;-19.59999;-5.25;994.52734;0;0;0;0;0
192;9.34058;4.18649;0.34728;38.91999;-4.76;-10.29;994.51855;0;0;0;0;0
193;9.26154;3.56858;0.98435;22.39999;7.98;1.12;994.51978;0;0;0;0;0
194;9.6184;3.11353;0.90292;37.16999;12.74;23.72999;994.54663;0;0;0;0;0
195;9.25196;3.45841;0.57959;3.78;-9.24;17.70999;994.56738;0;0;0;0;0
196;9.50104;2.79738;0.06706;13.85999;-1.75;41.36998;994.58984;0;0;0;0;0
197;9.65432;2.17468;0.32812;-12.04;4.06;15.32999;994.61646;0;0;0;0;0
198;9.68546;2.53393;0.64187;-10.92;0.84;-6.44;994.63599;0;0;0;0;0
199;9.81719;2.89318;0.65863;-24.21999;-0.21;-8.19;994.6394;0;0;0;0;0
200;9.44356;2.59141;1.07057;-10.22;-0.07;3.43;994.61401;0;0;0;0;0
201;10.0495;2.67524;0.92448;-3.78;-4.34;5.11;994.59595;0;0;0;0;0
202;9.90101;2.67284;0.89813;-11.62;-1.05;1.4;994.6084;0;0;0;0;0
203;9.74533;2.41178;0.74006;-0.56;2.59;3.29;994.59888;0;0;0;0;0
204;9.74773;2.62973;0.867;2.03;1.68;-4.69;994.5752;0;0;0;0;0
205;9.94412;2.56267;1.07776;-4.83;-0.21;-1.4;994.57324;0;0;0;0;0
206;10.03034;2.66566;0.94843;3.01;-1.12;1.47;994.55884;0;0;0;0;0
207;9.72617;2.57225;0.72809;5.46;-3.71;0;994.56006;0;0;0;0;0
208;10.05669;2.43813;0.73288;-7.7;3.71;1.05;994.57007;0;0;0;0;0
209;10.01837;2.44771;0.85742;-2.38;1.4;-1.47;994.57056;0;0;0;0;0
210;9.8124;2.62255;0.7712;2.38;1.68;-1.33;994.55933;0;0;0;0;0
211;9.58008;2.42376;0.89574;-6.23;3.08;-2.45;994.54614;0;0;0;0;0
212;9.90341;2.68721;0.8167;1.82;1.54;2.73;994.54956;0;0;0;0;0
213;9.51062;2.6465;0.95082;-5.46;4.27;-2.87;994.53931;0;0;0;0;0
214;9.73096;2.52435;1.03225;1.47;1.47;0.35;994.55054;0;0;0;0;0
215;10.11656;2.5986;1.02746;5.18;2.73;6.51;994.53955;0;0;0;0;0
216;10.01597;2.65608;1.13284;-3.5;1.68;-1.68;994.54102;0;0;0;0;0
217;9.69983;2.47406;1.13763;-7.21;-0.84;-1.61;994.54834;0;0;0;0;0
218;10.14291;2.5004;1.18074;-3.57;0.07;3.43;994.53491;0;0;0;0;0
219;9.81958;2.4525;1.39151;-0.98;3.01;5.11;994.54272;0;0;0;0;0
220;9.86748;2.43813;1.37714;-3.71;0.28;-0.91;994.54761;0;0;0;0;0
221;9.92736;2.28724;1.38911;4.41;-0.63;-2.94;994.5647;0;0;0;0;0
222;9.92496;2.68482;0.69216;16.86999;-1.68;1.33;994.56445;0;0;0;1;0
223;9.78845;2.55309;1.14242;-3.01;1.12;-5.04;994.54517;0;0;0;0;0
224;9.92257;2.5483;1.08973;1.26;1.33;-4.55;994.52734;0;0;0;0;0
225;10.49019;3.13029;0.94124;3.15;-3.57;-12.6;994.54956;0;0;0;0;0
226;8.33467;3.15664;-0.54606;11.55;3.5;-3.92;994.56226;0;0;0;0;0
227;6.78509;2.13875;-0.40476;4.27;15.74999;4.97;994.54785;0;0;0;0;0
228;5.64746;1.08734;0.96759;12.25;46.82998;19.73999;994.60522;0;0;0;0;0
229;6.5384;0.92927;2.39981;-15.39999;27.36999;-13.37;994.69995;0;0;0;0;0
230;7.73591;2.51477;2.53393;-2.24;28.76999;8.33;994.70923;0;0;0;0;0
231;9.95849;2.04535;3.78653;-18.40999;32.82999;11.55;994.70532;0;0;0;0;0
232;10.61712;2.33993;5.02715;-24.00999;18.61999;3.92;994.72876;0;0;0;0;0
233;10.66742;2.18905;5.13253;-8.26;16.37999;6.23;994.71362;0;0;0;0;0
234;10.64826;2.43094;6.2055;-20.15999;13.44;-5.67;994.72705;0;0;0;0;0
235;10.7225;2.52435;5.64267;-6.37;6.86;-3.36;994.72827;0;0;0;0;0
236;11.61345;2.61776;6.0594;-20.43999;4.48;8.26;994.69775;0;0;0;0;0
237;10.2914;2.20342;5.95641;-4.69;2.8;2.73;994.69946;0;0;0;0;1
238;8.36101;2.09325;4.61041;3.78;4.27;-4.9;994.70215;0;0;0;0;0
239;7.52036;1.67891;4.58886;-3.57;10.85;-3.64;994.68066;0;0;0;0;0
240;8.21013;1.56395;4.91937;0;7.14;7.14;994.68066;0;0;0;0;0
241;10.88057;2.59141;6.14083;9.66;-24.91999;-5.11;994.6936;0;0;0;0;0
242;11.76434;2.64171;5.54926;11.55;-31.56999;4.13;994.72217;0;0;0;0;0
243;12.53793;2.73751;5.27862;4.69;-19.66999;6.23;994.71021;0;0;0;0;0
244;12.05413;2.70877;4.65831;11.89999;-25.47999;5.18;994.71216;0;0;0;0;0
245;11.40508;2.08606;4.1338;10.43;-32.82999;7.28;994.73804;0;0;0;0;0
246;10.67221;2.09085;3.26202;15.32999;-40.73999;-1.68;994.72998;0;0;0;0;0
247;6.69168;1.3939;1.64059;8.54;-41.85999;-21.69999;994.71509;0;0;0;0;0
248;6.32046;1.47054;0.49577;7.91;-20.29999;-15.53999;994.69482;0;0;0;0;0
249;5.88456;1.58311;0.8191;3.01;-11.55;-14.13999;994.66943;0;0;0;0;0
250;7.23535;2.61776;0.00479;2.73;-19.94999;-15.04999;994.64966;0;0;0;0;0
251;8.53345;2.89318;-0.80712;-5.18;-12.11;-7.28;994.61572;0;0;0;0;0
252;9.33339;3.07042;0.05509;-9.24;6.37;5.6;994.60132;0;0;0;0;0
253;9.67348;3.04167;0.50056;12.88;-3.57;-2.17;994.61523;0;0;0;0;0
254;9.68067;3.36979;0.0479;-0.21;-2.38;-5.32;994.60449;0;0;0;1;0
255;9.39566;3.06084;0.36165;-1.82;-3.85;0.28;994.62451;0;0;0;0;0
256;9.32142;3.24046;0.06946;-2.66;-6.02;3.43;994.60571;0;0;0;0;0
257;9.65432;2.98419;-0.06467;-5.53;-7.42;5.18;994.59717;0;0;0;0;0
258;9.58487;3.10155;-0.05509;-1.89;-7.98;-1.61;994.58716;0;0;0;0;0
259;9.54415;3.11832;-0.14131;1.26;-5.25;-0.14;994.56763;0;0;0;0;0
260;9.51541;3.11113;-0.34967;5.95;-3.78;-1.75;994.54517;0;0;0;0;0
261;9.48907;3.21412;-0.38081;5.95;0.21;-2.73;994.55884;0;0;0;0;0
262;9.44596;3.33626;-0.7209;0.56;6.3;2.1;994.56982;0;0;0;0;0
263;10.10459;3.65241;-0.50056;2.45;1.05;3.57;994.58496;0;0;0;0;0
264;9.45554;2.97701;-0.64905;10.36;-14.7;3.36;994.59302;0;0;0;0;0
265;7.22338;2.38065;-1.41546;1.47;-1.96;-3.71;994.58032;0;0;0;0;0
266;6.77072;1.8753;-0.66582;-1.82;16.58999;-0.21;994.59839;0;0;0;0;0
267;7.81734;2.39502;0.17005;-0.98;27.15999;1.96;994.59619;0;0;0;0;0
268;9.3789;2.96264;0.43589;0.84;23.23999;0.21;994.62524;0;0;0;0;0
269;9.8603;3.11353;0.89334;-6.3;22.53999;1.12;994.64819;0;0;0;0;0
270;10.25547;3.30034;1.32205;-8.12;17.77999;5.81;994.67578;0;0;0;0;0
271;10.91171;3.26441;1.66933;4.83;19.38999;9.17;994.69238;0;0;0;0;0
272;10.33212;3.16861;1.74118;-1.61;16.16999;-4.06;994.68652;0;0;0;0;0
273;9.82916;3.31471;1.95913;-3.64;13.01999;-1.61;994.68115;0;0;0;0;0
274;10.00639;2.73751;2.08367;-0.84;11.76;3.36;994.68457;0;0;0;0;0
275;9.75252;2.74709;2.22737;0.77;10.43;4.06;994.68604;0;0;0;0;0
276;9.48667;2.79499;2.66087;-1.47;16.44999;-1.47;994.68481;0;0;0;0;0
277;10.28421;3.00814;2.47885;0.35;12.95;4.06;994.69531;0;0;0;0;0
278;10.23631;3.08718;3.01054;-2.03;12.32;1.96;994.68628;0;0;0;0;0
279;10.20757;3.0776;3.58295;-3.15;8.68;0.07;994.6814;0;0;0;0;0
280;10.51414;2.95306;3.35542;-0.42;4.27;3.78;994.69922;0;0;0;0;0
281;10.289;2.56028;3.76976;4.97;-4.83;1.19;994.7644;0;0;0;0;0
282;9.41003;2.58423;3.35063;0.77;-1.33;-1.19;994.75781;0;0;0;0;1
283;8.78733;2.64171;3.20454;1.47;1.4;-2.31;994.75708;0;0;0;0;0
284;8.86636;2.77343;3.15424;-2.94;4.34;0.91;994.75;0;0;0;0;0
285;9.99202;2.72074;3.5087;1.33;1.54;6.79;994.73315;0;0;0;0;0
286;10.90931;3.03209;3.86317;-1.47;3.22;1.12;994.73218;0;0;0;0;0
287;11.7835;2.90037;4.25835;-6.09;3.99;3.01;994.74536;0;0;0;0;0
288;11.48172;3.08958;4.5697;-5.67;9.03;-2.94;994.75049;0;0;0;0;0
289;11.08894;3.31471;4.67508;5.46;-2.24;-2.73;994.74219;0;0;0;0;0
290;10.27224;2.9818;4.43558;3.85;-12.67;-4.55;994.76392;0;0;0;0;0
291;9.81;2.7399;3.8009;18.05999;-25.19999;0.63;994.76904;0;0;0;0;0
292;9.49865;2.63452;3.24286;13.58;-34.64999;-3.29;994.77246;0;0;0;0;0
293;8.41849;2.53393;2.1148;12.11;-44.37999;-6.72;994.7771;0;0;0;0;0
294;7.6952;2.36867;1.26457;10.64;-44.65998;-13.64999;994.82129;0;0;0;0;0
