Time;Ax;Ay;Az;Gx;Gy;Gz;BAR;P;R;Mag;UP;DOWN
225;9.47112;4.48493;6.71572;-1.62506;10.5667;-4.73022;992.22034;-21.12073;54.66055;0.46044;0;0
226;8.37879;4.21125;5.7749;4.96673;-6.95037;-2.16675;992.26874;-22.48155;55.42427;0.47563;0;0
227;10.51016;5.04308;6.90437;9.72747;-6.95037;-0.15259;992.2998;-21.85257;56.69817;0.4904;0;0
228;10.25445;4.64603;6.32346;15.22063;-11.3449;-3.69262;992.29236;-21.08893;58.33969;0.51027;0;0
229;9.24774;4.49991;5.71861;9.54436;-15.98357;-5.64575;992.27386;-22.48264;58.26825;0.51403;0;0
230;8.92076;5.30239;6.03301;16.68547;-20.74431;-4.66919;992.27899;-26.21393;55.92995;0.49741;0;0
231;8.6381;4.68376;5.16525;18.21135;-26.35954;-0.76294;992.25854;-24.9558;59.12219;0.53471;0;0
232;7.4697;3.79384;3.30157;7.89642;-35.14859;0.15259;992.20929;-24.91693;66.15482;0.63336;0;0
233;5.71801;3.00872;2.56915;24.19279;-36.97964;-2.41089;992.18121;-25.63924;65.8052;0.63051;0;0
234;4.6077;2.08347;1.34087;27.54972;-33.86686;-4.30297;992.19861;-23.4686;73.77469;0.7437;0;0
