Time;Ax;Ay;Az;Gx;Gy;Gz;BAR;P;R;Mag;UP;DOWN
114;4.3999;1.57143;2.78295;9.01794;-24.80314;-18.08165;992.24286;-16.79605;57.68652;0.48825;0;0
115;5.68088;2.67455;2.39907;4.92858;-23.94865;-7.52258;992.263;-23.44687;67.10535;0.64309;0;0
116;8.22188;3.66748;3.35547;-13.07677;-3.8681;2.91443;992.25281;-22.44031;67.79893;0.65075;0;0
117;8.45125;3.70101;4.31545;-5.75256;-4.78363;9.07897;992.25006;-21.30678;62.94981;0.57631;0;0
118;8.38897;3.14646;5.04907;31.66196;-7.71331;8.04137;992.26788;-17.81509;58.95751;0.50905;0;0
119;8.6339;3.47883;2.97878;13.71764;-4.29535;-2.21252;992.16058;-20.85159;70.96509;0.69522;0;0
120;8.55306;3.30336;3.34289;11.09313;-3.25775;-3.31115;992.242;-19.78474;68.65237;0.65746;0;0
121;8.60636;3.60999;3.24767;5.17273;-5.14984;-3.18908;992.23688;-21.42722;69.32564;0.67135;0;0
122;8.7435;4.09447;2.92129;22.81187;-0.87738;-5.14221;992.25708;-23.94855;71.52503;0.71039;0;0
123;7.05828;3.48842;1.40974;-0.19836;3.70025;-1.17493;992.26215;-25.85753;78.70502;0.82375;0;0
124;4.80832;2.35595;1.14863;0.71716;17.8604;10.91002;992.23138;-25.48082;76.56474;0.79025;0;0
125;4.49032;1.40435;2.70629;-13.56505;34.33987;17.92906;992.23584;-14.99535;58.92288;0.50139;0;0
126;4.97721;1.55347;3.72138;-11.97814;26.40531;20.12633;992.25177;-14.03467;53.21513;0.41906;0;0
127;8.15241;2.57993;4.97122;-7.58361;26.22221;26.1688;992.2439;-15.11977;58.6258;0.4974;0;0
128;8.95909;1.88584;6.49893;-20.33995;33.24124;26.71812;992.29938;-9.66956;54.04283;0.42116;0;0
129;9.57892;1.81038;7.56193;-15.3961;26.40531;8.22448;992.32507;-8.4379;51.71123;0.38708;0;0
130;9.58671;1.66606;7.91646;-2.5177;7.36236;4.13513;992.32251;-7.63243;50.45097;0.3689;0;0
131;9.57173;1.88165;7.4703;-13.56505;-2.6474;6.63757;992.36053;-8.8092;52.02959;0.392;0;0
132;9.49388;1.72474;7.8931;-6.91223;-10.88714;2.182;992.36566;-7.9525;50.26026;0.36685;0;0
133;8.67343;0.45215;8.07097;-0.80872;-2.03705;0.10681;992.33466;-2.18553;47.06061;0.31927;0;0
134;9.1148;1.29536;5.73298;-9.53674;12.61138;-8.92638;992.36505;-6.85963;57.83113;0.47139;0;0
135;7.95838;1.12348;7.06247;2.182;5.53131;-9.96398;992.35736;-6.02742;48.41333;0.33992;0;0
136;8.39376;1.65168;7.19422;12.06969;-1.6098;-10.20812;992.3548;-8.49751;49.40039;0.35637;0;0
137;9.9089;2.37332;7.9452;2.24304;7.30132;-7.52258;992.35992;-10.58437;51.27649;0.38508;0;0
138;9.71426;2.64461;8.63869;-8.92638;4.73785;-2.94494;992.36206;-11.49905;48.35397;0.34881;0;0
139;9.29386;2.5955;8.38717;-8.37707;-13.87786;-3.7384;992.33167;-11.71309;47.93558;0.34399;0;0
140;8.85608;2.13677;7.48407;2.48718;-25.7797;-11.48986;992.32654;-10.4416;49.79961;0.36523;0;0
141;7.75237;1.92537;5.41618;5.59997;-32.31046;-16.73888;992.28552;-11.50771;55.06;0.43879;0;0
142;5.9851;1.58521;3.59142;25.68052;-39.39053;-17.89854;992.27747;-12.79532;59.03371;0.49824;0;0
143;4.90953;1.60557;2.42782;7.43102;-26.20695;-16.06749;992.24902;-16.3383;63.6871;0.57463;0;0
144;4.7694;1.57802;2.20564;16.9525;-21.62932;-16.61681;992.26453;-16.71533;65.18153;0.59799;0;0
145;5.73058;2.64521;2.24277;14.02282;-29.19767;-11.18468;992.22351;-23.26033;68.62621;0.66517;0;0
146;8.95909;3.81779;1.61815;-1.4801;-11.92473;4.74548;992.2337;-22.75079;79.76189;0.83609;0;0
147;8.36681;3.51417;3.87768;-2.88391;1.8692;1.14441;992.20312;-20.86063;65.13416;0.60707;0;0
148;8.60755;3.77587;2.99734;-6.1798;-6.43157;-1.78528;992.26666;-22.50282;70.80074;0.69618;0;0
149;8.09073;3.09915;3.82378;18.60045;-5.76019;6.75964;992.21545;-19.10199;64.70398;0.59623;0;0
150;8.33806;3.98069;2.84583;7.36999;3.15094;-8.49914;992.28131;-24.31441;71.15494;0.70564;0;0
151;7.95778;3.91661;2.86739;19.02769;-2.76947;-3.37219;992.20477;-24.84564;70.18463;0.69239;0;0
152;7.70865;4.19927;2.09544;-5.08117;2.60162;17.50182;992.19946;-27.72969;74.79272;0.76781;0;0
153;6.71812;3.17221;2.46854;29.28159;51.49074;15.54869;992.19696;-23.90359;69.82439;0.68468;0;0
154;4.53704;2.0649;2.97279;12.86315;27.32084;24.33775;992.23773;-20.84091;56.7661;0.4878;0;0
155;4.35917;0.4743;2.56556;13.10729;2.96783;7.12585;992.22498;-5.35703;59.52138;0.495;0;0
156;6.45222;2.11102;1.76247;1.69372;31.41019;9.38415;992.23517;-17.5164;74.72193;0.74871;0;0
157;9.96399;2.47812;4.56159;-20.09581;64.36914;24.15464;992.19928;-12.74234;65.40134;0.59399;0;0
158;9.8035;2.88595;7.50144;-11.85607;33.60745;-0.99182;992.27814;-13.15881;52.5775;0.40827;0;0
159;9.36752;2.43441;7.55294;-21.80479;20.72905;1.26648;992.31146;-11.43701;51.12109;0.38479;0;0
160;9.72684;2.64401;8.2099;-8.92638;6.32476;0.71716;992.2832;-11.73483;49.83408;0.36848;0;0
161;9.8017;2.32242;8.41292;-2.94494;-8.50677;5.11169;992.31128;-10.19257;49.3601;0.35898;0;0
162;9.09923;2.36434;7.3098;1.20544;-1.36566;-0.62561;992.30615;-11.45143;51.22358;0.38618;0;0
163;8.83752;1.31272;7.07505;25.61948;3.39508;-1.60217;992.31873;-6.61435;51.32031;0.37919;0;0
164;8.28656;2.02837;6.43006;3.34167;-0.63324;-6.79016;992.40283;-10.94511;52.18986;0.3981;0;0
165;8.25542;2.28469;6.43545;3.95202;-2.95257;-11.00158;992.34125;-12.31265;52.06205;0.39933;0;0
